OrderNumber,CustomerName,State,TaxRate,ProductType,Area,CostPerSquareFoot,LaborCostPerSquareFoot,MaterialCost,LaborCost,Tax,Total
10,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
18,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
26,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
32,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
35,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
43,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
51,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
59,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
62,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
70,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
78,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
86,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
92,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
95,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
101,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
107,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
113,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
119,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
125,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
131,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
137,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
143,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
149,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
152,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
158,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
164,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
170,Steve,TX,4.45,Carpet,900,2.25,2.10,2025.00,1890.00,174.22,4089.22
